Date : 2026-09-10 19:28:09
Directory : /home/lexyleinchen/osdev/PrintOS
Total : 62 files,  5651 codes, 11 comments, 1541 blanks, all 7203 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C                       |         18 |      3,296 |          0 |        842 |      4,138 |
| C++                     |         39 |      2,000 |          7 |        548 |      2,555 |
| Makefile                |          1 |        108 |          0 |         36 |        144 |
| Markdown                |          1 |        106 |          0 |         68 |        174 |
| x86 and x86_64 Assembly |          1 |        105 |          4 |         40 |        149 |
| LinkerScript            |          1 |         32 |          0 |          7 |         39 |
| Properties              |          1 |          4 |          0 |          0 |          4 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |         62 |      5,651 |         11 |      1,541 |      7,203 |
| . (Files)                                                                              |          2 |        214 |          0 |        104 |        318 |
| iso                                                                                    |          1 |          4 |          0 |          0 |          4 |
| iso/boot                                                                               |          1 |          4 |          0 |          0 |          4 |
| iso/boot/grub                                                                          |          1 |          4 |          0 |          0 |          4 |
| src                                                                                    |         59 |      5,433 |         11 |      1,437 |      6,881 |
| src (Files)                                                                            |          1 |         32 |          0 |          7 |         39 |
| src/apps                                                                               |         10 |        596 |          1 |        156 |        753 |
| src/apps/calculator                                                                    |          2 |         15 |          0 |          6 |         21 |
| src/apps/diskmanager                                                                   |          2 |        270 |          0 |         59 |        329 |
| src/apps/filebrowser                                                                   |          2 |        184 |          1 |         47 |        232 |
| src/apps/terminal                                                                      |          2 |        112 |          0 |         38 |        150 |
| src/apps/texteditor                                                                    |          2 |         15 |          0 |          6 |         21 |
| src/boot                                                                               |          1 |        105 |          4 |         40 |        149 |
| src/kernel                                                                             |         33 |      3,668 |          0 |      1,003 |      4,671 |
| src/kernel (Files)                                                                     |          1 |         29 |          0 |          3 |         32 |
| src/kernel/boot                                                                        |          2 |         58 |          0 |         14 |         72 |
| src/kernel/core                                                                        |          4 |        227 |          0 |         67 |        294 |
| src/kernel/drivers                                                                     |         10 |      1,394 |          0 |        331 |      1,725 |
| src/kernel/drivers/ahci                                                                |          2 |         59 |          0 |         11 |         70 |
| src/kernel/drivers/ide                                                                 |          2 |        304 |          0 |         74 |        378 |
| src/kernel/drivers/pci                                                                 |          2 |        121 |          0 |         28 |        149 |
| src/kernel/drivers/ps2                                                                 |          2 |        155 |          0 |         44 |        199 |
| src/kernel/drivers/usb                                                                 |          2 |        755 |          0 |        174 |        929 |
| src/kernel/framebuffer                                                                 |          2 |         26 |          0 |         10 |         36 |
| src/kernel/inputs                                                                      |          4 |        208 |          0 |         70 |        278 |
| src/kernel/storage                                                                     |         10 |      1,726 |          0 |        508 |      2,234 |
| src/kernel/storage (Files)                                                             |          4 |        234 |          0 |         79 |        313 |
| src/kernel/storage/partition                                                           |          6 |      1,492 |          0 |        429 |      1,921 |
| src/kernel/storage/partition (Files)                                                   |          2 |        412 |          0 |        122 |        534 |
| src/kernel/storage/partition/filesystem                                                |          4 |      1,080 |          0 |        307 |      1,387 |
| src/kernel/storage/partition/filesystem (Files)                                        |          2 |         96 |          0 |         34 |        130 |
